Date,Time,Name,Age,City,Salary,Department,Rating,Experience (Years),Gender,Marital Status,Phone Number,Email,Product Purchased,Quantity
2020-10-02,07:49:13,soUaKFvj,41,Chennai,25315.08,Sales,3.2,19,Female,Single,+91-8742811230,jtjrsybv@example.com,Mobile,3
2021-04-28,04:47:32,LLsxahe,49,Chennai,68667.68,Sales,4.9,4,Female,Single,+91-9499404555,avhfntb@example.com,Smartwatch,2
2024-02-17,11:38:26,VTPfUqbA,41,Bangalore,43668.65,Engineering,2.9,2,Male,Married,+91-7470760622,aipdm@example.com,Tablet,1
2020-01-26,12:20:40,RFXqMjMX,18,Hyderabad,50858.37,Sales,3.8,39,Male,Divorced,+91-7887196923,ifflesefaj@example.com,Smartwatch,1
2020-11-04,14:41:29,KCCDavm,55,Bangalore,98655.71,Finance,3.1,24,Other,Single,+91-9302911606,xubvpyk@example.com,Smartwatch,4
2023-01-03,07:56:16,TAxLxfNXi,26,Delhi,96014.17,Sales,4.7,25,Other,Married,+91-9198014835,dvgfpv@example.com,Tablet,4
2022-05-27,18:37:10,jAHwZZn,31,Bangalore,91822.77,Marketing,2.1,13,Female,Divorced,+91-7420896569,cygjbz@example.com,Tablet,3
2023-09-19,02:34:00,jTFPEnB,32,Mumbai,77333.55,Engineering,1.0,36,Other,Widowed,+91-7124886638,yorbcmkzmc@example.com,Mobile,2
2021-03-26,20:47:34,gWCPeskG,50,Hyderabad,81186.31,Finance,4.9,38,Other,Married,+91-9935182311,ciapx@example.com,Headphones,2
2020-06-09,11:01:21,jWGDeu,56,Delhi,63936.42,HR,4.8,31,Male,Single,+91-7713825192,jfrfxcsv@example.com,Smartwatch,5
2022-01-20,09:58:58,xrThgWO,52,Chennai,36144.25,Engineering,4.0,20,Other,Widowed,+91-9335648206,bbmuntop@example.com,Tablet,5
2021-08-07,10:37:59,uDSmSK,55,Chennai,67077.37,Finance,3.3,4,Female,Single,+91-8654517149,dnvplgz@example.com,Tablet,5
2021-10-22,09:40:57,PmNgbSU,39,Delhi,66353.95,Sales,3.2,2,Male,Divorced,+91-8182901748,kneyv@example.com,Laptop,2
2023-09-08,14:44:58,GRMzFk,45,Mumbai,99624.04,Marketing,1.4,0,Male,Widowed,+91-8430967298,ryunngjow@example.com,Smartwatch,4
2022-09-28,09:46:20,coJDo,29,Mumbai,87864.41,Sales,3.8,30,Female,Single,+91-9530448352,thlaut@example.com,Headphones,2
2023-12-17,07:51:35,YlomJdD,22,Mumbai,76185.16,HR,3.3,20,Other,Single,+91-9963306086,ulvtxa@example.com,Mobile,4
2021-05-02,19:41:58,TdybNXGXUn,20,Delhi,81426.97,Engineering,3.5,15,Male,Single,+91-9283479758,attowwilr@example.com,Smartwatch,2
2021-06-08,15:20:55,iFzEvUwB,22,Chennai,54297.84,Sales,3.1,22,Other,Divorced,+91-8552034934,nesdmlh@example.com,Smartwatch,1
2024-08-13,17:07:51,DrwBzLpJzz,57,Hyderabad,88241.53,Finance,2.8,40,Female,Married,+91-8745240339,vhuosifjzv@example.com,Laptop,2
2023-09-07,00:49:54,ztvVkar,49,Chennai,31959.02,HR,3.4,5,Other,Married,+91-9686502768,nxrhym@example.com,Tablet,4
2024-09-17,06:15:19,gvyYpaLlK,26,Delhi,20046.38,Sales,5.0,22,Male,Single,+91-7741512906,hgcofvlfd@example.com,Laptop,5
2020-06-13,23:27:14,nnHGrTrQC,57,Hyderabad,29326.35,Finance,1.9,0,Female,Married,+91-9545647406,qyxiav@example.com,Headphones,4
2024-03-07,04:18:27,QNqGfzMpp,35,Hyderabad,59677.19,Marketing,3.1,27,Other,Widowed,+91-9367929023,rjerirg@example.com,Tablet,1
2023-05-06,03:37:20,umDXOfl,23,Bangalore,90845.11,Finance,3.5,9,Other,Single,+91-8808322764,rgjrlap@example.com,Laptop,3
2021-06-20,23:37:57,wdAcyRU,26,Mumbai,78992.12,Marketing,3.6,11,Male,Divorced,+91-9939972686,hagvcnyk@example.com,Tablet,3
2021-02-15,17:15:44,GiHGEAkOGM,25,Delhi,58788.94,HR,3.7,17,Female,Single,+91-7496108027,dncehil@example.com,Headphones,2
2024-10-22,16:32:53,RjqLKLrtS,26,Delhi,48970.31,Sales,5.0,8,Male,Married,+91-8236506649,qazoqd@example.com,Laptop,4
2021-08-23,16:05:23,mgOLPddz,38,Mumbai,22908.97,Engineering,3.2,18,Other,Widowed,+91-9897664718,dbymbhyuc@example.com,Laptop,5
2023-11-02,02:46:46,OGsUuzHNxM,31,Mumbai,78376.12,Sales,2.1,25,Male,Single,+91-9288907684,tvdsckousw@example.com,Tablet,4
2023-02-24,10:55:14,XvdWrCWs,57,Delhi,70148.96,HR,4.8,34,Male,Single,+91-7319459197,mdabas@example.com,Smartwatch,3
2024-11-21,01:18:15,mwtffL,29,Chennai,24200.69,Marketing,1.6,37,Female,Divorced,+91-9745830166,roblaraw@example.com,Mobile,5
2023-06-24,19:36:03,gChIVNOfYH,38,Delhi,35675.0,Finance,4.9,31,Male,Single,+91-8212500128,otogow@example.com,Smartwatch,4
2023-11-05,19:16:34,eYeIIECDc,51,Hyderabad,39156.55,Sales,4.7,20,Female,Single,+91-9199466561,oicyu@example.com,Smartwatch,2
2024-01-14,20:52:20,gJYju,50,Delhi,41970.52,Finance,2.8,30,Other,Divorced,+91-9594161470,ydsmegg@example.com,Tablet,5
2024-11-06,09:24:47,EfGjmc,56,Delhi,62895.63,Sales,1.8,20,Other,Divorced,+91-9662740204,jxrefls@example.com,Mobile,5
2021-09-21,11:27:51,CMaIhydrn,43,Chennai,71670.04,Sales,1.1,17,Other,Widowed,+91-9058435684,wzfzruxgi@example.com,Headphones,2
2023-08-06,13:02:45,xWSPsuclmQ,53,Hyderabad,81886.76,Finance,3.9,21,Female,Single,+91-9360544201,zzfgvx@example.com,Mobile,2
2022-08-30,12:56:09,fnlpiSEkrv,29,Chennai,98146.84,Marketing,2.3,4,Male,Married,+91-8423572519,arbqexf@example.com,Laptop,3
2023-05-20,05:39:33,WsUhcVlBm,51,Bangalore,82396.67,Engineering,3.5,11,Female,Divorced,+91-7575826411,xzhuah@example.com,Headphones,3
2021-03-07,07:01:39,lzUgDany,50,Bangalore,22417.59,Finance,2.9,22,Male,Single,+91-9076536399,fouwnpf@example.com,Laptop,3
2024-03-30,03:04:08,cBmnsexomu,40,Chennai,53763.83,Sales,4.8,27,Female,Married,+91-9310016146,mxtti@example.com,Smartwatch,5
2021-06-22,21:53:57,tXFlmw,49,Mumbai,68822.3,Engineering,2.4,15,Female,Single,+91-9759653870,qwngiapuu@example.com,Headphones,4
2023-02-15,19:28:44,lrVCSJCLX,45,Bangalore,22332.72,Engineering,2.8,20,Male,Married,+91-7630973813,ozqkfzjxe@example.com,Laptop,1
2022-02-07,04:56:25,VLEMYB,22,Mumbai,74333.71,Marketing,4.7,36,Male,Widowed,+91-7401565624,gfajti@example.com,Mobile,4
2022-05-29,01:05:09,QJboyQJ,33,Mumbai,50376.57,Sales,4.5,27,Female,Widowed,+91-9670109447,bptsa@example.com,Laptop,5
2021-08-11,00:05:16,EawFovoXo,33,Hyderabad,87613.78,Sales,2.4,19,Female,Married,+91-7415668910,zfscny@example.com,Smartwatch,5
2020-04-27,11:09:15,uCWPxqVBK,18,Bangalore,69354.97,HR,2.0,20,Male,Divorced,+91-8237068216,arfwxucm@example.com,Laptop,2
2024-12-30,16:54:41,xlFdDgxFJ,32,Mumbai,20401.8,Sales,4.8,11,Female,Single,+91-7912844635,evruqh@example.com,Tablet,1
2023-11-26,17:56:14,wfxrETTNBJ,25,Bangalore,84321.65,Sales,4.2,28,Female,Married,+91-7228623652,buxaadqb@example.com,Tablet,3
2023-11-05,10:11:25,JIujqEwx,18,Mumbai,53057.27,Finance,2.6,23,Other,Divorced,+91-8271218219,zqkhua@example.com,Mobile,3
2023-02-23,16:15:42,rHXFrqfng,22,Delhi,63894.18,HR,3.3,1,Other,Single,+91-7150276947,kwvdr@example.com,Laptop,2
2024-11-08,16:08:30,BVQWqrkY,42,Delhi,79319.43,Finance,2.2,8,Female,Divorced,+91-8535063742,iicmckuv@example.com,Smartwatch,1
2022-07-21,04:29:30,irYBT,50,Hyderabad,73613.29,Sales,3.4,17,Male,Married,+91-8619061776,awtcrcl@example.com,Smartwatch,5
2022-07-27,23:39:27,hQqGvg,47,Delhi,99923.66,HR,3.7,2,Male,Married,+91-8080671567,zpszsbl@example.com,Tablet,4
2024-10-16,22:36:58,RwMRH,19,Delhi,39901.84,Finance,2.7,39,Other,Divorced,+91-8759285887,ywlhj@example.com,Smartwatch,3
2022-11-08,03:30:35,VsCOKQFhw,42,Hyderabad,56482.69,Engineering,2.2,10,Female,Single,+91-8160070270,iqudujl@example.com,Headphones,2
2022-01-28,01:07:59,OdAkhSY,48,Hyderabad,45304.34,Marketing,2.3,39,Male,Divorced,+91-8571650322,sdmua@example.com,Laptop,4
2023-02-10,20:28:57,lLpggkQun,28,Chennai,38040.84,HR,2.7,22,Other,Widowed,+91-9551840146,veypjxljs@example.com,Mobile,4
2020-11-20,07:50:25,TWWcOb,51,Bangalore,93708.86,Marketing,1.2,28,Other,Widowed,+91-9126433659,fnwelmy@example.com,Laptop,2
2024-05-16,14:25:10,cjqpkcsNhL,41,Delhi,67968.57,Marketing,2.0,3,Male,Widowed,+91-7851342811,zbjxmv@example.com,Smartwatch,1
2022-02-23,19:33:00,cHTHSaGHeu,27,Delhi,76594.64,Finance,3.1,17,Male,Married,+91-9918308774,iazpgpvqk@example.com,Smartwatch,4
2022-02-21,04:22:03,iHceNhhyYZ,39,Chennai,70274.08,Finance,3.2,26,Male,Widowed,+91-7511012745,pzcyztkdz@example.com,Mobile,5
2024-12-05,23:35:15,zQujClC,18,Mumbai,97107.91,Sales,1.5,31,Male,Single,+91-8423530834,qzybx@example.com,Headphones,1
2020-05-29,14:37:22,MCbDNtiJx,45,Chennai,52101.64,Marketing,3.3,20,Other,Single,+91-7006184438,fcpzajqu@example.com,Tablet,5
2023-12-11,14:54:38,CYhjERb,25,Bangalore,54575.0,HR,4.5,0,Male,Single,+91-7499615681,mrbjzmfg@example.com,Smartwatch,3
2020-03-24,10:36:21,SslJg,31,Mumbai,55855.85,HR,2.8,39,Other,Divorced,+91-8522432142,wdcsgm@example.com,Laptop,1
2020-11-25,18:03:27,zoAju,30,Delhi,56965.78,Finance,1.1,8,Female,Widowed,+91-8754428780,smsyagif@example.com,Smartwatch,3
2022-11-27,06:46:09,fkzShXfmyZ,29,Chennai,96624.39,Sales,3.5,38,Other,Divorced,+91-9016696110,sjxzuc@example.com,Laptop,3
2020-10-27,20:58:42,pLwgHtv,27,Mumbai,60253.02,HR,1.8,40,Female,Married,+91-9583053057,yftrwkes@example.com,Smartwatch,1
2020-05-29,22:59:48,cfeFUkqf,20,Bangalore,75093.15,HR,2.3,27,Other,Married,+91-8264348783,juogan@example.com,Laptop,3
2022-07-17,02:36:16,oPHsgGJgq,26,Delhi,59384.42,HR,1.6,13,Female,Divorced,+91-8553122094,iuffunb@example.com,Tablet,1
2020-03-03,07:37:31,tTtkiWJsIF,46,Hyderabad,64570.53,Finance,1.6,15,Female,Married,+91-7700637002,mwpzpzfi@example.com,Tablet,1
2021-03-29,17:14:13,QJaCprdCG,55,Bangalore,27615.97,Finance,3.0,2,Female,Divorced,+91-8952456347,rpvwns@example.com,Smartwatch,2
2023-09-15,19:37:57,afYTDD,52,Bangalore,36364.74,HR,3.0,12,Female,Single,+91-8416358350,kscos@example.com,Smartwatch,1
2022-07-17,14:03:20,eEBiQ,36,Bangalore,64390.46,Sales,1.4,36,Male,Widowed,+91-7683598743,svxyiey@example.com,Smartwatch,2
2022-12-08,18:08:35,sKwFT,27,Delhi,71273.29,Sales,1.1,8,Male,Married,+91-9741316823,ivaueomq@example.com,Smartwatch,4
2023-10-15,02:10:56,qWXDP,21,Chennai,62301.19,HR,4.7,30,Other,Widowed,+91-8425420932,gzeuloh@example.com,Tablet,5
2023-12-13,09:45:08,OnqLsr,21,Mumbai,75150.18,Engineering,1.0,20,Other,Married,+91-7962065991,gbqrlci@example.com,Headphones,2
2024-12-15,20:28:34,sMSwYvDUF,57,Hyderabad,20684.48,Marketing,1.3,30,Other,Single,+91-8619869673,lagsszm@example.com,Tablet,2
2024-02-22,17:52:36,HdEGFPZ,41,Hyderabad,31589.16,Sales,2.0,39,Other,Single,+91-9157753169,xamsbvse@example.com,Mobile,2
2021-07-20,12:04:20,fnEBNnFt,29,Chennai,40886.16,HR,4.5,20,Male,Single,+91-8195421867,lfyjopi@example.com,Laptop,3
2022-05-14,23:30:41,azclm,30,Delhi,56591.48,Finance,1.7,15,Other,Divorced,+91-8488888294,hwnizzghrl@example.com,Tablet,4
2022-02-16,09:04:45,BnYKhSxO,37,Bangalore,99229.56,Marketing,4.6,10,Female,Widowed,+91-7486522323,kaywtkk@example.com,Laptop,4
2021-10-31,13:03:15,NOvlVvsiKM,30,Chennai,56809.44,Finance,1.9,25,Other,Divorced,+91-7572321317,qdcmnjppiv@example.com,Smartwatch,4
2022-07-16,23:37:00,KGsGPyic,24,Chennai,21181.99,HR,3.0,12,Female,Married,+91-8094525597,lftwooeuts@example.com,Mobile,5
2020-04-20,11:09:00,rCGxdIWw,40,Hyderabad,79411.49,Engineering,3.8,7,Other,Divorced,+91-9347049321,hcnawhh@example.com,Laptop,5
2022-02-05,02:46:49,vXkxCoj,26,Bangalore,89933.38,HR,1.6,33,Male,Widowed,+91-7379055123,noatgak@example.com,Laptop,5
2021-10-05,19:54:13,SPnmp,55,Bangalore,22574.77,Marketing,4.1,2,Other,Widowed,+91-7332359342,ppiag@example.com,Headphones,5
2023-10-14,08:23:08,bnanrDtR,51,Bangalore,46091.84,Engineering,2.1,33,Other,Widowed,+91-8577804035,ccthck@example.com,Laptop,3
2022-03-18,21:41:01,UZhLBPJn,50,Bangalore,58131.05,Engineering,5.0,37,Male,Widowed,+91-7465959269,kjnezor@example.com,Headphones,1
2021-04-17,06:02:34,swxJmQ,23,Hyderabad,94420.11,Marketing,2.2,36,Female,Married,+91-8740827573,hylotdigv@example.com,Mobile,2
2022-03-04,11:47:16,SpIPBF,26,Chennai,42012.98,Finance,1.7,27,Female,Single,+91-9450428090,jkvbsgwnm@example.com,Mobile,5
2021-07-19,18:11:58,UUXuQ,49,Hyderabad,96093.39,Finance,4.7,30,Male,Widowed,+91-9909343424,kxvhj@example.com,Laptop,4
2020-06-25,05:59:04,WBTAbLvTR,45,Mumbai,25870.36,HR,4.4,15,Female,Married,+91-9997223354,gvyhfke@example.com,Smartwatch,4
2021-04-14,18:13:23,IaDFFhuWyg,23,Bangalore,81618.86,Sales,1.5,3,Male,Divorced,+91-9020658378,dnzawa@example.com,Mobile,2
2021-10-19,19:11:37,QLZGVwI,30,Bangalore,23251.98,Marketing,1.7,17,Female,Divorced,+91-7251945620,yxxyydbf@example.com,Mobile,4
2023-08-13,10:29:02,vmuNpgtFve,45,Hyderabad,67660.62,Engineering,4.8,7,Male,Married,+91-9685427450,segccvb@example.com,Headphones,4
2021-03-07,01:56:05,RppYFyDNso,20,Delhi,44548.44,Engineering,1.6,13,Male,Single,+91-8249581548,gzeoycc@example.com,Headphones,2
2022-10-23,13:57:24,lqEBAOiGag,45,Hyderabad,43348.34,Marketing,4.1,34,Female,Divorced,+91-9302499469,pfdrt@example.com,Smartwatch,1
2022-11-05,17:42:45,hgosos,41,Hyderabad,38642.14,Sales,1.3,1,Male,Married,+91-8296673151,tneob@example.com,Mobile,2
2020-05-30,07:31:00,cLsYeajJ,34,Hyderabad,62454.16,Marketing,1.5,6,Female,Married,+91-9487363675,ongeode@example.com,Smartwatch,2
2023-01-02,08:34:23,aupwiwo,47,Delhi,59247.9,HR,1.3,29,Female,Widowed,+91-9455321590,unmcti@example.com,Mobile,5
2024-12-26,20:01:00,ydVVt,20,Mumbai,73149.63,Sales,3.8,27,Male,Married,+91-8678142327,oeiaavpjnq@example.com,Laptop,5
2024-04-11,03:36:50,daccqNOj,60,Bangalore,62437.64,Sales,1.0,39,Other,Widowed,+91-7232289804,meesbce@example.com,Smartwatch,4
2023-09-24,00:34:54,NmTsorSLB,38,Mumbai,32981.92,HR,4.0,2,Other,Widowed,+91-9917164049,rxpcdjhllg@example.com,Smartwatch,4
2023-10-08,00:39:20,BLavyhSSQ,36,Delhi,75818.15,Sales,4.0,11,Female,Single,+91-8504856745,sgeow@example.com,Laptop,2
2023-02-02,13:57:16,DiNerY,34,Delhi,23137.96,HR,3.6,2,Male,Widowed,+91-8914125065,wwpszq@example.com,Laptop,5
2024-06-01,16:56:25,JoAlmotVej,47,Bangalore,25061.8,Sales,2.7,7,Male,Married,+91-7418240817,fznpof@example.com,Mobile,1
2020-10-22,17:45:15,usxlA,45,Chennai,49929.65,Engineering,2.9,18,Other,Widowed,+91-9046468432,askpg@example.com,Tablet,2
2022-09-01,23:03:09,RFlQLAizgc,33,Hyderabad,36943.47,HR,3.4,30,Female,Divorced,+91-9907416002,wxujpqze@example.com,Tablet,2
2024-04-03,16:32:23,ejZFJCR,52,Delhi,53841.96,Finance,4.4,26,Female,Married,+91-9894702696,umglndmnv@example.com,Laptop,1
2022-05-02,12:20:09,NHkEg,32,Mumbai,23727.72,Engineering,1.5,0,Other,Widowed,+91-9894599809,txmoej@example.com,Laptop,1
2023-05-27,10:36:39,evfDHZxZU,51,Bangalore,85009.21,Marketing,2.3,12,Female,Widowed,+91-7596995422,rdfsc@example.com,Tablet,2
2023-03-26,18:36:09,wmyNxp,35,Bangalore,29485.53,Engineering,3.1,0,Male,Married,+91-8187618973,qhvfw@example.com,Tablet,5
2021-05-19,10:07:09,BRGByUc,29,Mumbai,43108.14,HR,1.2,0,Other,Single,+91-8139711916,kdhuc@example.com,Smartwatch,5
2024-10-22,12:44:25,roYyeTeyd,23,Mumbai,73487.9,HR,1.5,22,Female,Single,+91-9531351482,hkxjlq@example.com,Mobile,1
2020-04-24,01:59:46,vxygFdOj,50,Chennai,64891.29,Finance,2.1,7,Other,Married,+91-7109413066,xllulfjbr@example.com,Tablet,4
2021-11-14,03:41:20,KyCNB,58,Mumbai,55554.37,Marketing,3.6,6,Male,Widowed,+91-9042643665,ldsxbq@example.com,Laptop,2
2021-04-01,17:37:07,vrVuLqCb,18,Mumbai,31617.36,Finance,2.5,14,Female,Widowed,+91-8529263029,oernkf@example.com,Laptop,4
2024-01-02,21:50:03,rlbQYM,53,Hyderabad,94087.75,Sales,1.5,16,Other,Married,+91-9888364606,itzqagkl@example.com,Headphones,5
2021-02-11,15:04:55,YSyTcnjWg,41,Delhi,75078.45,Engineering,2.2,3,Female,Divorced,+91-9726922128,bspdtg@example.com,Laptop,4
2020-05-13,13:56:41,QsDbqmQx,54,Chennai,74330.02,Engineering,3.8,7,Other,Divorced,+91-7855914348,poimpzawjz@example.com,Smartwatch,3
2024-04-11,11:56:52,SzGjQLaUP,21,Mumbai,48974.79,Engineering,4.7,28,Male,Single,+91-7909438456,dyhsknf@example.com,Headphones,5
2022-11-08,11:38:39,VrhFpqGNvN,49,Delhi,33605.1,Sales,1.1,21,Male,Single,+91-7917674716,kxirck@example.com,Headphones,5
2020-03-19,13:16:38,ObbZh,49,Chennai,91582.32,Sales,4.1,12,Male,Married,+91-8326071273,kszqapb@example.com,Tablet,2
2024-06-09,14:31:31,nvyaR,29,Mumbai,28980.23,HR,3.5,11,Female,Divorced,+91-8051867251,cksowyb@example.com,Mobile,4
2023-05-04,02:54:00,Lidkt,44,Hyderabad,34936.91,Marketing,2.2,33,Female,Widowed,+91-9080682768,gaxrnqxws@example.com,Smartwatch,1
2024-12-28,00:00:24,TNTTFVBs,37,Mumbai,77447.48,Marketing,2.2,20,Female,Divorced,+91-8184346576,iicawpd@example.com,Tablet,3
2021-07-31,06:35:24,dFujOHbTbI,56,Delhi,50999.43,Marketing,3.9,23,Female,Widowed,+91-9544503151,dmpitefxsy@example.com,Laptop,1
2023-02-17,09:46:12,gwoNcINHH,38,Hyderabad,52295.03,Sales,1.2,15,Female,Single,+91-8736295794,slths@example.com,Laptop,4
2024-02-18,23:31:31,SdpeDY,34,Hyderabad,65588.0,Sales,4.5,31,Male,Single,+91-8715313127,wxwlujehw@example.com,Mobile,5
2022-11-29,02:41:15,xIKfqqd,24,Delhi,81236.36,Finance,2.3,1,Other,Widowed,+91-9766565636,sxunknbk@example.com,Mobile,1
2022-03-18,00:28:10,WXrmaLX,38,Mumbai,60935.62,Engineering,4.4,34,Other,Married,+91-9497623970,phthrbntp@example.com,Mobile,3
2020-09-14,10:22:23,xGYkgSW,52,Delhi,82188.22,HR,4.7,13,Female,Married,+91-9972492214,mypiu@example.com,Tablet,4
2020-11-24,20:30:24,SgtsIPnu,52,Hyderabad,23294.07,Finance,1.3,32,Male,Widowed,+91-9888848793,fzaovbn@example.com,Mobile,2
2020-05-14,15:17:44,XzuvkGd,22,Bangalore,90070.08,Sales,4.6,7,Other,Single,+91-8340719253,joppfploeq@example.com,Mobile,2
2020-06-25,17:21:46,owXVFIsnj,19,Hyderabad,35895.63,Marketing,4.9,6,Female,Divorced,+91-7303888967,cdwuowvl@example.com,Tablet,3
2022-11-07,05:05:19,zrEVS,29,Chennai,56940.6,Finance,1.8,19,Other,Married,+91-9043277261,dlblrmylx@example.com,Headphones,4
2023-02-20,13:10:01,YyYRj,21,Hyderabad,46875.7,HR,4.9,16,Female,Married,+91-9929713415,cyvsd@example.com,Tablet,4
2020-11-02,10:41:57,nFsEUK,55,Hyderabad,90339.29,Finance,4.3,0,Other,Divorced,+91-8627201355,yhumxdabbg@example.com,Tablet,5
2021-12-25,23:19:04,OTzZk,34,Chennai,91191.43,HR,2.2,34,Male,Divorced,+91-8354099441,mvvpvtzpf@example.com,Smartwatch,1
2024-12-25,09:35:28,ZNaurmhqc,43,Delhi,99901.4,HR,1.3,37,Other,Single,+91-8894355754,ethlqcgvb@example.com,Laptop,3
2020-04-27,10:23:18,LjpaEnc,23,Chennai,37902.31,HR,2.7,29,Other,Widowed,+91-8203114825,azgszc@example.com,Smartwatch,2
2021-01-16,03:19:49,ldZffRxJx,28,Hyderabad,55399.71,Finance,3.7,39,Male,Married,+91-7276942956,tmrld@example.com,Headphones,4
2022-11-24,14:01:25,YgePLpNjd,51,Hyderabad,29989.24,HR,2.7,10,Male,Single,+91-9643994897,vienpgc@example.com,Headphones,3
2022-10-08,15:06:13,eyqAAuNMf,23,Hyderabad,58341.06,Engineering,4.2,18,Male,Widowed,+91-8423277146,dtsmd@example.com,Smartwatch,1
2023-10-19,04:26:00,TuRqidxHNg,54,Hyderabad,21078.94,Engineering,4.1,33,Female,Divorced,+91-9632573342,lgusemiizb@example.com,Smartwatch,4
2024-09-03,11:54:21,uFROeUPwWf,39,Chennai,56240.18,HR,2.1,1,Male,Widowed,+91-8620799467,novcm@example.com,Smartwatch,5
2020-02-10,07:48:22,OgtqbxT,43,Chennai,60579.31,Sales,4.2,15,Female,Married,+91-8680822737,owjbupsgi@example.com,Tablet,2
2021-04-15,23:46:23,ppujcXG,35,Hyderabad,32333.22,Sales,1.7,15,Other,Single,+91-9097851039,mrwzd@example.com,Smartwatch,4
2022-12-22,17:14:44,WwtLqSnLiL,36,Hyderabad,68274.84,Finance,4.9,29,Other,Divorced,+91-8237066350,wuaqsfkzsm@example.com,Mobile,4
2024-03-04,14:25:43,BdLsTPD,53,Delhi,51204.94,Engineering,4.8,10,Male,Married,+91-7933368071,nhvndguxrx@example.com,Mobile,3
2021-06-30,08:42:16,FcqUBvwZ,27,Hyderabad,57278.44,Engineering,4.2,39,Other,Single,+91-7819822879,mrbqpxfj@example.com,Laptop,1
2023-04-14,02:34:06,dNlgISpa,22,Bangalore,72308.57,Engineering,4.2,3,Other,Widowed,+91-8489564639,acozr@example.com,Laptop,5
2020-05-23,16:10:28,IHxKrv,40,Chennai,42551.45,HR,1.7,30,Female,Widowed,+91-9910483434,mqovia@example.com,Mobile,5
2021-01-05,15:27:07,qUeBIkY,52,Bangalore,55238.55,HR,2.1,20,Female,Widowed,+91-7647393754,obpjesxjyd@example.com,Mobile,5
2022-09-16,13:32:29,xOcnPUrI,40,Mumbai,72545.66,Finance,4.1,20,Male,Divorced,+91-7510429960,qghslsmz@example.com,Headphones,3
2020-12-19,23:31:01,zsGVqrCdH,22,Chennai,66464.61,Sales,2.4,37,Other,Married,+91-8641769525,ddjerwoq@example.com,Headphones,4
2020-01-21,08:46:56,vsTdW,22,Delhi,73126.05,Engineering,4.7,6,Female,Single,+91-8418417360,ekslsou@example.com,Tablet,3
2020-05-10,12:32:08,wREgbGimch,49,Chennai,80456.48,Marketing,2.1,5,Male,Married,+91-7751893406,ykttqqw@example.com,Tablet,5
2022-11-02,10:58:57,punWz,18,Hyderabad,51666.52,HR,3.1,20,Male,Divorced,+91-7316127686,zgjcdgfiu@example.com,Laptop,4
2022-08-08,14:29:34,jvEfdGBM,24,Chennai,83876.94,HR,3.0,25,Female,Single,+91-8182590931,aplcjrf@example.com,Smartwatch,5
2023-09-06,16:13:41,LLHgSCEglp,33,Chennai,34504.13,HR,1.7,5,Male,Divorced,+91-7038839596,ajdabcctbc@example.com,Mobile,3
2021-10-18,12:01:39,yPlkCCQ,30,Mumbai,64397.84,Sales,4.7,37,Other,Married,+91-7976793880,jhfah@example.com,Mobile,2
2024-01-23,18:59:34,WEPkqJlM,43,Mumbai,91818.99,Engineering,2.9,8,Other,Divorced,+91-9842740999,hmnwlygb@example.com,Headphones,1
2024-12-17,15:44:31,ByhiZ,60,Chennai,85714.07,Sales,3.9,7,Other,Married,+91-9096004436,lfymtudmdr@example.com,Laptop,4
2020-11-11,14:57:38,juZcEs,56,Hyderabad,77330.93,Engineering,1.4,39,Male,Divorced,+91-8197982287,kitucws@example.com,Laptop,1
